u_apercor	g_apercor	r_apercor	i_apercor	z_apercor	y_apercor
23.9419	23.7103	23.0740	22.4573	21.9220	21.6354
23.5502	22.8788	21.9910	20.9521	20.4801	20.4418
23.2553	21.3125	19.8061	19.1487	18.8742	18.8461
22.9300	22.6719	22.2004	21.5818	21.1713	21.0563
23.5902	23.0928	22.6358	22.5489	22.3858	22.6257
22.8153	22.5378	22.1739	21.7042	21.5185	21.5988
23.0993	22.5697	21.9819	21.1692	20.9135	20.7468
23.5463	23.0903	22.4321	21.8054	21.6350	21.5548
24.3584	23.9825	23.4730	22.8250	22.6459	22.6931
24.2040	24.0899	23.8780	23.3609	23.0204	22.7394
22.9667	21.4422	19.9793	19.3552	19.0736	18.9119
24.9792	23.9880	22.6369	21.3455	20.8768	20.7219
23.4030	22.8780	22.1406	21.1682	20.7436	20.5663
22.2039	21.1927	20.7128	20.4039	20.2997	20.2958
21.7947	20.0458	18.6516	18.1227	17.8421	17.9835
24.4813	24.4387	24.0883	23.7559	23.5575	23.8140
24.3291	23.7054	23.0612	22.2097	21.9505	21.8978
23.2481	22.1801	21.6643	21.3762	21.2639	21.2449
25.4977	23.5908	22.1565	21.4311	21.1483	20.9574
23.9931	23.2328	22.7375	22.5209	22.4696	22.3639
21.2049	20.6471	19.9442	19.6912	19.4750	19.4478
24.5049	24.4449	24.1862	23.7618	23.4037	23.6751
24.5447	23.4684	22.2434	21.0250	20.5905	20.5643
24.6754	24.0734	23.3157	22.4129	21.9930	21.7260
24.5146	22.6930	21.3058	20.5642	20.2382	20.6481
24.1502	23.2809	22.4071	22.0332	21.8106	21.7842
23.1697	22.9491	22.3630	21.9955	21.9107	21.8135
22.9260	22.4758	21.8828	21.3386	21.1860	21.0148
23.1274	22.8856	22.4534	21.8426	21.6991	21.7799
26.2293	24.9594	23.3772	22.2089	21.3719	21.0945
24.4560	24.1792	23.6821	23.0440	22.7070	22.5529
24.0375	22.9787	21.7453	21.1252	20.8081	21.0898
24.3119	23.7722	22.9462	22.5926	22.3960	22.2622
22.0846	21.3534	20.7969	20.6034	20.4276	20.5551
23.5577	23.3939	23.1094	22.5750	22.2135	22.1720
22.6445	22.3461	21.5729	21.2649	21.1865	21.0923
24.1639	22.2966	20.7647	19.8647	19.5228	19.4619
21.5942	21.2691	20.9561	20.9920	20.8099	20.2704
22.0905	22.0201	22.0015	21.9879	21.7550	21.8854
23.9752	22.9880	22.2063	21.7767	21.5067	21.5168
